FPU_Page;FPU_LG_English;FPU_LG_French;FPU_SnomedCT;FPU_DefCSP;FPU_Concepts;FPU_Concepts_Codes;FPU_DefNCI;FPU_Name;FPU_DefMSH;FPU_Code;FPU_URL
Carbohydrate Count;Carbohydrate counting (regime/therapy), Carbohydrate counting;;416576000;;Health Care Activity (T058);T058;;Carbohydrate counting;;C1562940;http://www.fpnotebook.com/Endo/Prevent/CrbhydrtCnt.htm
Variable Rate Insulin Infusion;###############################################################################################################################################################################################################################################################;Insuline ordinaire, Insuline;67866001, 39487003, 412222002;###############################################################################################################################################################################################################################################################;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)
, Hormone (T125)";T116 T121 T125;"A short-acting form of insulin. Regular insulin is obtained from animal or recombinant sources. The onset of action of regular insulin occurs at 30-90 minutes after injection; its effect lasts for 6 to 8 hours. Endogenous human insulin, a pancreatic hormone composed of two polypeptide chains, is important for the normal metabolism of carbohydrates, proteins and fats; it has anabolic effects on many types of tissues. (NCI04) Human insulin protein (110 aa, 12 kDa) is encoded by the human insulin (INS) gene. This cytosolic protein, a heterodimer of disulfide-linked alpha and beta chains, is produced in pancreatic islet beta cells. Binding of insulin to its receptor stimulates glucose uptake, accelerates both glycolysis and the pentose phosphate cycle and increases glycogen synthesis in the liver. Insulin regulates protein and lipid metabolism. It also decreases blood glucose concentration by shuttling molecules into cells to be used for energy. Decreased expression of insulin protein causes familial hyperproinsulinemia.";Insulin;###############################################################################################################################################################################################################################################################;C0021641;http://www.fpnotebook.com/Endo/Pharm/VrblRtInslnInfsn.htm
Acromegaly;###############################################################################################################################################################################################################################################################;ACROMEGALIE, Acromégalie, Syndrome d'hypersécrétion d'hormone somatotrope (Acromégalie), Syndrome de sécrétion inappropriée d'hormone de croissance (Acromégalie), Syndrome de sécrétion inappropriée de GH (Acromégalie);74107003, 154698000, 267480001;disorder caused by excessive secretion of somatotropin, characterized by bony enlargement of face, hands, feet, head and thorax.;Disease or Syndrome (T047);T047;###############################################################################################################################################################################################################################################################;Acromegaly;###############################################################################################################################################################################################################################################################;C0001206;http://www.fpnotebook.com/Endo/Pituitary/Acrmgly.htm
Gigantism;###############################################################################################################################################################################################################################################################;GIGANTISME, Gigantisme, Gigantisme hypophysaire;123111004, 80849007, 86073008, 363094008, 154698000, 267480001;condition of abnormal overgrowth or excessive size of the whole body or any of its parts.;Disease or Syndrome (T047);T047;A clinical finding indicating abnormal and excessive body growth and height resulting from the overproduction of human growth hormone. A condition in which the whole body or any of its parts grow much larger than normal.;Gigantism;###############################################################################################################################################################################################################################################################;C0017547;http://www.fpnotebook.com/Endo/Pituitary/Ggntsm.htm
Hyperprolactinemia Causes;###############################################################################################################################################################################################################################################################;HYPERPROLACTINEMIE, Hyperprolactinémie, Syndrome de sécrétion inappropriée d'hormone lutéotrope, Syndrome de sécrétion inappropriée de LTH, Syndrome de sécrétion inappropriée de PRL, Syndrome de sécrétion inappropriée de prolactine;367422005, 190468001, 237662005, 21170004;###############################################################################################################################################################################################################################################################;Disease or Syndrome (T047);T047;;Hyperprolactinemia;###############################################################################################################################################################################################################################################################;C0020514;http://www.fpnotebook.com/Endo/Pituitary/HyprprlctnmCs.htm
Hyperprolactinemia Causes;###############################################################################################################################################################################################################################################################;Galactorrhée associée à l'accouchement, épisode de soins non précisé, LACTATION PUERPERALE EXCESSIVE, Hypersécrétion lactée puerpérale;71639005, 65377004;;Disease or Syndrome (T047);T047;;Galactorrhea associated with childbirth;;C0269995;http://www.fpnotebook.com/Endo/Pituitary/HyprprlctnmCs.htm
Sitagliptin;Januvia;;;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;;Januvia;;C1702177;http://www.fpnotebook.com/Endo/Pharm/Stglptn.htm
Sitagliptin;4-oxo-4-(3-(trifluoromethyl)-5,6-dihydro(1,2,4)triazolo(4,3-a)pyrazin-7(8H)-yl)-1-(2,4,5-trifluorophenyl)butan-2-amine, sitagliptin, Sitagliptin (product), Sitagliptin, Sitagliptin (substance), SITAGLIPTIN, sitagliptin [Chemical/Ingredient], sitaGLIPtin;;424106006, 423307000;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;;sitagliptin;;C1565750;http://www.fpnotebook.com/Endo/Pharm/Stglptn.htm
Symlin;pramlintide, PRAMLINTIDE, Pramlintide, pramlintide [Chemical/Ingredient], Pramlintide (product), Pramlintide (substance);;416392006, 416425000;;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)
, Hormone (T125)";T116 T121 T125;###############################################################################################################################################################################################################################################################;Pramlintide;;C0537551;http://www.fpnotebook.com/Endo/Pharm/Symln.htm
Symlin;Symlin, Amylin Pharmaceuticals brand of pramlintide acetate;;;;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)
, Hormone (T125)";T116 T121 T125;;Symlin;;C1174780;http://www.fpnotebook.com/Endo/Pharm/Symln.htm
Thiazolidinedione;Actos, pioglitazone (Actos), actos, acto, Eli Lilly brand of pioglitazone hydrochloride, Takeda brand of pioglitazone hydrochloride;;;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;A drug that is used to treat type 2 diabetes and is being studied in the prevention of head and neck cancer. It may be able to stop leukoplakia (a condition affecting the mouth ) from developing into cancer. It is a type of thiazolidinedione.;Actos;;C0875954;http://www.fpnotebook.com/Endo/Pharm/Thzldndn.htm
Thiazolidinedione;5-(4-(2-(5-ethyl-2-pyridyl)ethoxy)benzyl)-2,4-thiazolidinedione, pioglitazone, pioglitazone [Chemical/Ingredient], Pioglitazone (product), Pioglitazone (substance), Pioglitazone, PIOGLITAZONE;;326058001, 395828009;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;###############################################################################################################################################################################################################################################################;pioglitazone;;C0071097;http://www.fpnotebook.com/Endo/Pharm/Thzldndn.htm
Thiazolidinedione;Avandia, rosiglitazone maleate (Avandia), avandia, Glaxo Wellcome brand of rosiglitazone maleate, GlaxoSmithKline brand of rosiglitazone maleate, SmithKline Beecham brand of rosiglitazone maleate;;;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;;Avandia;;C0875967;http://www.fpnotebook.com/Endo/Pharm/Thzldndn.htm
Thiazolidinedione;###############################################################################################################################################################################################################################################################;;109085002, 386967007;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;###############################################################################################################################################################################################################################################################;troglitazone;;C0245514;http://www.fpnotebook.com/Endo/Pharm/Thzldndn.htm
Thiazolidinedione;###############################################################################################################################################################################################################################################################;Glitazones, Thiazolidine-diones, Thiazolidinediones;109086001, 372568004;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;;Thiazolidinediones;THIAZOLES with two keto oxygens. Members are insulin-sensitizing agents which overcome INSULIN RESISTANCE by activation of the peroxisome proliferator activated receptor gamma (PPAR-gamma).;C1257987;http://www.fpnotebook.com/Endo/Pharm/Thzldndn.htm
Thiazolidinedione;Rezulin, rezulin, Parke Davis brand of troglitazone, Warner-Lambert brand of troglitazone;;;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;;Rezulin;;C0701265;http://www.fpnotebook.com/Endo/Pharm/Thzldndn.htm
Thiazolidinedione;###############################################################################################################################################################################################################################################################;;326053005, 395869000;"peroxisome proliferator activated receptor agonist; reduces lipid availability; improves insulin action and glucoregulation.";"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;###############################################################################################################################################################################################################################################################;rosiglitazone;;C0289313;http://www.fpnotebook.com/Endo/Pharm/Thzldndn.htm
Thyroid Hormone Replacement;synthroid, Abbot Brand of Levothyroxine Sodium, Synthroid;Synthroid;;;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)";T116 T121;;Synthroid;;C0728762;http://www.fpnotebook.com/Endo/Pharm/ThyrdHrmnRplcmnt.htm
Sulfonylurea;###############################################################################################################################################################################################################################################################;Sulfonylurées;273950002, 34012005, 372711004, 259552008;"compounds of the type R-SO2-NHCONH-; when R=Ph, these are a group of hypoglycemic agents which enhance insulin secretion by beta cells and insulin sensitivity in target tissue, and so are effective in type II (noninsulin-dependent) diabetes mellitus.";"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;;Sulfonylurea Compounds;;C0038766;http://www.fpnotebook.com/Endo/Pharm/Slfnylr.htm
Second Generation Sulfonylurea;###############################################################################################################################################################################################################################################################;Glipizide;26124005, 387143009;"1-cyclohexyl-3-(p-(2-(5-methyl pyrazinecarboxamido) ethyl) phenyl) sulfonylurea; a typical member of the sulfonylurea family of type II (NIDDM) antidiabetic drugs.";"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;###############################################################################################################################################################################################################################################################;Glipizide;An oral hypoglycemic agent which is rapidly absorbed and completely metabolized.;C0017642;http://www.fpnotebook.com/Endo/Pharm/ScndGnrtnSlfnylr.htm
Second Generation Sulfonylurea;###############################################################################################################################################################################################################################################################;Glibenclamide;387466004, 384978002, 80870001;"N-4-beta-(2-methoxy-5-chlorobenzamido) -ethylbenzosulfonyl-N'- cyclohexylurea; hypoglycemic used against non-insulin dependent diabetes mellitus; thought to act by increasing insulin receptor expression in target tissues.";"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;###############################################################################################################################################################################################################################################################;Glyburide;An antidiabetic sulfonylurea derivative with actions similar to those of chlorpropamide.;C0017628;http://www.fpnotebook.com/Endo/Pharm/ScndGnrtnSlfnylr.htm
Systemic Corticosteroid;###############################################################################################################################################################################################################################################################;Prednisolone;325425005, 317418003, 116601002, 52388000;synthetic glucocorticoid with the general properties of the corticosteroids.;"Steroid (T110)
, Pharmacologic Substance (T121)";T110 T121;###############################################################################################################################################################################################################################################################;prednisolone;A glucocorticoid with the general properties of the corticosteroids. It is the drug of choice for all conditions in which routine systemic corticosteroid therapy is indicated, except adrenal deficiency states.;C0032950;http://www.fpnotebook.com/Endo/Pharm/SystmcCrtcstrd.htm
Systemic Corticosteroid;###############################################################################################################################################################################################################################################################;Hormones cortico-surrénaliennes, Corticoïdes, Corticostéroïdes, Hormones corticosurrénaliennes;332333008, 320476006, 79440004, 21568003;###############################################################################################################################################################################################################################################################;"Steroid (T110)
, Pharmacologic Substance (T121)
, Hormone (T125)";T110 T121 T125;###############################################################################################################################################################################################################################################################;Adrenal Cortex Hormones;;C0001617;http://www.fpnotebook.com/Endo/Pharm/SystmcCrtcstrd.htm
Systemic Corticosteroid;###############################################################################################################################################################################################################################################################;Bétaméthasone;116571008, 29896003;;"Steroid (T110)
, Pharmacologic Substance (T121)
, Hormone (T125)";T110 T121 T125;###############################################################################################################################################################################################################################################################;Betamethasone;###############################################################################################################################################################################################################################################################;C0005308;http://www.fpnotebook.com/Endo/Pharm/SystmcCrtcstrd.htm
Systemic Corticosteroid;Dexamethasone, Hexadecadrol, Methylfluorprednisolone, Pregna-1,4-diene-3,20-dione, 9-fluoro-11,17,21-trihydroxy-16-methyl-, (11beta,16alpha)-, 1-Dehydro-16alpha-methyl-9alpha-fluorohydrocortisone, 9Alpha-fluoro-11beta,17alpha,21-trihydroxy-16alpha-methylpregna-1,4-diene-3,20-dione, 9Alpha-fluoro-16alpha-methylprednisolone, 9alpha-Fluoro-16alpha- methylprednisolone, Fluoro-9alpha Methyl-16alpha Prednisolone, (11Beta,16alpha)-9-fluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione, 16Alpha-methyl-9alpha-fluoro-1,4-pregnadiene-11beta,17alpha,21-triol-3,20-dione, 16Alpha-methyl-9alpha-fluoro-delta1-hydrocortisone, 16Alpha-methyl-9alpha-fluoroprednisolone, dexamethasone, Dexamethasonum, Desamethasone, Dexamethasone [endocrine use], DEXAMETHASONE, Dexamethasone [endocrine use] (product), dexamethasone (medication), Dexamethasone [Chemical/Ingredient], dexamethasone (DMX), Dexamethasone preparation, Dexamethasone (substance), Dexamethasone preparation (product), DXM, DM, Dexamethasone (product), Dexamethasone [endocrine use] (substance), Dexamethasone preparation (substance);Dexaméthasone;325354000, 372584003, 7561000, 116568000;anti-inflammatory 9-fluoro-glucocorticoid.;"Steroid (T110)
, Pharmacologic Substance (T121)";T110 T121;###############################################################################################################################################################################################################################################################;Dexamethasone;An anti-inflammatory 9-fluoro-glucocorticoid.;C0011777;http://www.fpnotebook.com/Endo/Pharm/SystmcCrtcstrd.htm
Systemic Corticosteroid;###############################################################################################################################################################################################################################################################;Cortisol, Hydrocortisone;396458002, 56423005, 16602005;###############################################################################################################################################################################################################################################################;"Steroid (T110)
, Pharmacologic Substance (T121)
, Hormone (T125)";T110 T121 T125;###############################################################################################################################################################################################################################################################;Hydrocortisone;###############################################################################################################################################################################################################################################################;C0020268;http://www.fpnotebook.com/Endo/Pharm/SystmcCrtcstrd.htm
Systemic Corticosteroid;###############################################################################################################################################################################################################################################################;6-Méthylprednisolone, Méthylprednisolone;325387001, 116593003, 27242001;synthetic glucocorticoid derived from progesterone, used in replacement therapy for adrenal insufficiency and as an anti-inflammatory and immunosuppressant.;"Steroid (T110)
, Pharmacologic Substance (T121)
, Hormone (T125)";T110 T121 T125;###############################################################################################################################################################################################################################################################;Methylprednisolone;A PREDNISOLONE derivative with similar anti-inflammatory action.;C0025815;http://www.fpnotebook.com/Endo/Pharm/SystmcCrtcstrd.htm
Systemic Corticosteroid;###############################################################################################################################################################################################################################################################;Cortisone;32498003, 111150008;"naturally occurring glucocorticoid used in replacement therapy for adrenal insufficiency and as an anti-inflammatory agent; cortisone itself is inactive and is converted in the liver to the active metabolite cortisol.";"Steroid (T110)
, Pharmacologic Substance (T121)
, Hormone (T125)";T110 T121 T125;###############################################################################################################################################################################################################################################################;Cortisone;###############################################################################################################################################################################################################################################################;C0010137;http://www.fpnotebook.com/Endo/Pharm/SystmcCrtcstrd.htm
Sibutramine;sibutramine, SIBUTRAMINE, sibutramine [Chemical/Ingredient], Sibutramine (product), Sibutramine (substance), Sibutramine, Sibutramine product (product), Sibutramine product;;108373009, 386838007, 371164009;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;;sibutramine;;C0074493;http://www.fpnotebook.com/Endo/Pharm/Sbtrmn.htm
Sibutramine;Meridia, sibutramine hydrochloride (Meridia), meridia;;;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;;Meridia;;C0635898;http://www.fpnotebook.com/Endo/Pharm/Sbtrmn.htm
Phentermine;###############################################################################################################################################################################################################################################################;Phentermine;373343009, 53480001;"central nervous system stimulant and sympathomimetic with actions and uses similar to dextroamphetamine; used in the treatment of obesity.";"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;###############################################################################################################################################################################################################################################################;Phentermine;A central nervous system stimulant and sympathomimetic with actions and uses similar to those of DEXTROAMPHETAMINE. It has been used most frequently in the treatment of obesity.;C0031447;http://www.fpnotebook.com/Endo/Pharm/Phntrmn.htm
Orlistat;xenical, Hoffmann-La Roche brand of orlistat, Roche brand of orlistat, Xenical;;;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;;Xenical;;C0732649;http://www.fpnotebook.com/Endo/Pharm/Orlst.htm
Orlistat;###############################################################################################################################################################################################################################################################;;116093009, 387007000;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;###############################################################################################################################################################################################################################################################;orlistat;;C0076275;http://www.fpnotebook.com/Endo/Pharm/Orlst.htm
Oral Hypoglycemic;###############################################################################################################################################################################################################################################################;Agents hypoglycémiques, Agents hypoglycémiants, Médicaments hypoglycémiants, Médicaments hypoglycémiques, Hypoglycémiants;325290009, 373299009, 9356005, 312064005;class of agents which lower blood glucose levels.;Pharmacologic Substance (T121);T121;;Hypoglycemic Agents;Substances which lower blood glucose levels.;C0020616;http://www.fpnotebook.com/Endo/Pharm/OrlHypglycmc.htm
Medications Affecting Thyroid Function;"Drug-induced thyroiditis, Drug-induced thyroiditis (disorder), drug; thyroiditis, thyroiditis; drug-induced";;237539004;;Pathologic Function (T046);T046;;Drug-induced thyroiditis;;C0342179;http://www.fpnotebook.com/Endo/Pharm/MdctnsAfctngThyrdFnctn.htm
Non-Sulfonylurea Insulin Secretagogues;###############################################################################################################################################################################################################################################################;;109074004, 386964000;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;###############################################################################################################################################################################################################################################################;repaglinide;;C0246689;http://www.fpnotebook.com/Endo/Pharm/NnSlfnylrInslnScrtgs.htm
Non-Sulfonylurea Insulin Secretagogues;starlix, Starlix, Novartis brand of nateglinide;;;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;;Starlix;;C1323198;http://www.fpnotebook.com/Endo/Pharm/NnSlfnylrInslnScrtgs.htm
Non-Sulfonylurea Insulin Secretagogues;4-(2-(5-chloro-2-methoxybenzamido)ethyl)benzoic acid, meglitinide, MEGLITINIDE, meglitinide [Chemical/Ingredient], meglitinides, Meglitinide, Meglitinide (product), Meglitinide (substance);;109075003, 372566000;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;;Meglitinide;;C0065880;http://www.fpnotebook.com/Endo/Pharm/NnSlfnylrInslnScrtgs.htm
Non-Sulfonylurea Insulin Secretagogues;###############################################################################################################################################################################################################################################################;;129496008, 134604002, 387070004;;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)";T116 T121;;nateglinide;;C0903898;http://www.fpnotebook.com/Endo/Pharm/NnSlfnylrInslnScrtgs.htm
Non-Sulfonylurea Insulin Secretagogues;Prandin, repaglinide (Prandin), prandin, Novo Nordisk brand 2 of repaglinide;;;;"Organic Chemical (T109)
, Pharmacologic Substance (T121)";T109 T121;;Prandin;;C0722725;http://www.fpnotebook.com/Endo/Pharm/NnSlfnylrInslnScrtgs.htm
Liothyronine;cytomel, Cytomel;Cytomel;;;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)";T116 T121;;Cytomel;;C0010826;http://www.fpnotebook.com/Endo/Pharm/Lthyrn.htm
Liothyronine;###############################################################################################################################################################################################################################################################;T3 (Hormone thyroïdienne), Tri-iodothyronine, Hormone thyroïdienne T3, Triiodothyronine, 3,5,3'-triiodothyronine, Liothyronine;61275002, 350358003, 74495008, 36437009;"one of the thyroid hormones; an organic iodine containing compound secreted in small amounts by the thyroid gland; most circulating triiodothyroinine is produced by the deiodination of thyroxine in the peripheral tissues.";"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)
, Hormone (T125)";T116 T121 T125;###############################################################################################################################################################################################################################################################;Triiodothyronine;###############################################################################################################################################################################################################################################################;C0041014;http://www.fpnotebook.com/Endo/Pharm/Lthyrn.htm
Insulin Simulation;###############################################################################################################################################################################################################################################################;Insuline ordinaire, Insuline;67866001, 39487003, 412222002;###############################################################################################################################################################################################################################################################;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)
, Hormone (T125)";T116 T121 T125;"A short-acting form of insulin. Regular insulin is obtained from animal or recombinant sources. The onset of action of regular insulin occurs at 30-90 minutes after injection; its effect lasts for 6 to 8 hours. Endogenous human insulin, a pancreatic hormone composed of two polypeptide chains, is important for the normal metabolism of carbohydrates, proteins and fats; it has anabolic effects on many types of tissues. (NCI04) Human insulin protein (110 aa, 12 kDa) is encoded by the human insulin (INS) gene. This cytosolic protein, a heterodimer of disulfide-linked alpha and beta chains, is produced in pancreatic islet beta cells. Binding of insulin to its receptor stimulates glucose uptake, accelerates both glycolysis and the pentose phosphate cycle and increases glycogen synthesis in the liver. Insulin regulates protein and lipid metabolism. It also decreases blood glucose concentration by shuttling molecules into cells to be used for energy. Decreased expression of insulin protein causes familial hyperproinsulinemia.";Insulin;###############################################################################################################################################################################################################################################################;C0021641;http://www.fpnotebook.com/Endo/Pharm/InslnSmltn.htm
Insulin Pump;Insulin pump, NOS, PUMP, INFUSION, INSULIN, Pumps, Insulin, Insulin Pumps, Insulin pump, device, insulin pumps, insulin infusion pump, Insulin Infusion Pump - Device, Insulin pump, device (physical object), Insulin pump, insulin pump;;69805005;;Medical Device (T074);T074;;Insulin pump;;C1140609;http://www.fpnotebook.com/Endo/Pharm/InslnPmp.htm
Insulin Sliding Scale;Sliding scale insulin regime, Sliding scale insulin regime (regime/therapy), Sliding scale insulin regime (procedure);;225301004;;Therapeutic or Preventive Procedure (T061);T061;;Sliding scale insulin regime;;C0557977;http://www.fpnotebook.com/Endo/Pharm/InslnSldngScl.htm
Inhaled Insulin;EXUBERA, Exubera;;;;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)
, Hormone (T125)";T116 T121 T125;;Exubera;;C1176237;http://www.fpnotebook.com/Endo/Pharm/InhldInsln.htm
Insulin Dosing in Type 1 Diabetes;###############################################################################################################################################################################################################################################################;Insuline ordinaire, Insuline;67866001, 39487003, 412222002;###############################################################################################################################################################################################################################################################;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)
, Hormone (T125)";T116 T121 T125;"A short-acting form of insulin. Regular insulin is obtained from animal or recombinant sources. The onset of action of regular insulin occurs at 30-90 minutes after injection; its effect lasts for 6 to 8 hours. Endogenous human insulin, a pancreatic hormone composed of two polypeptide chains, is important for the normal metabolism of carbohydrates, proteins and fats; it has anabolic effects on many types of tissues. (NCI04) Human insulin protein (110 aa, 12 kDa) is encoded by the human insulin (INS) gene. This cytosolic protein, a heterodimer of disulfide-linked alpha and beta chains, is produced in pancreatic islet beta cells. Binding of insulin to its receptor stimulates glucose uptake, accelerates both glycolysis and the pentose phosphate cycle and increases glycogen synthesis in the liver. Insulin regulates protein and lipid metabolism. It also decreases blood glucose concentration by shuttling molecules into cells to be used for energy. Decreased expression of insulin protein causes familial hyperproinsulinemia.";Insulin;###############################################################################################################################################################################################################################################################;C0021641;http://www.fpnotebook.com/Endo/Pharm/InslnDsngInTypDbts.htm
Insulin Dosing;###############################################################################################################################################################################################################################################################;Insuline ordinaire, Insuline;67866001, 39487003, 412222002;###############################################################################################################################################################################################################################################################;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)
, Hormone (T125)";T116 T121 T125;"A short-acting form of insulin. Regular insulin is obtained from animal or recombinant sources. The onset of action of regular insulin occurs at 30-90 minutes after injection; its effect lasts for 6 to 8 hours. Endogenous human insulin, a pancreatic hormone composed of two polypeptide chains, is important for the normal metabolism of carbohydrates, proteins and fats; it has anabolic effects on many types of tissues. (NCI04) Human insulin protein (110 aa, 12 kDa) is encoded by the human insulin (INS) gene. This cytosolic protein, a heterodimer of disulfide-linked alpha and beta chains, is produced in pancreatic islet beta cells. Binding of insulin to its receptor stimulates glucose uptake, accelerates both glycolysis and the pentose phosphate cycle and increases glycogen synthesis in the liver. Insulin regulates protein and lipid metabolism. It also decreases blood glucose concentration by shuttling molecules into cells to be used for energy. Decreased expression of insulin protein causes familial hyperproinsulinemia.";Insulin;###############################################################################################################################################################################################################################################################;C0021641;http://www.fpnotebook.com/Endo/Pharm/InslnDsng.htm
Insulin;humalog, HumaLOG, Humalog, Eli Lilly brand of Insulin Lispro;;;;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)";T116 T121;;Humalog;;C0528249;http://www.fpnotebook.com/Endo/Pharm/Insln.htm
Insulin;###############################################################################################################################################################################################################################################################;Insuline ordinaire, Insuline;67866001, 39487003, 412222002;###############################################################################################################################################################################################################################################################;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)
, Hormone (T125)";T116 T121 T125;"A short-acting form of insulin. Regular insulin is obtained from animal or recombinant sources. The onset of action of regular insulin occurs at 30-90 minutes after injection; its effect lasts for 6 to 8 hours. Endogenous human insulin, a pancreatic hormone composed of two polypeptide chains, is important for the normal metabolism of carbohydrates, proteins and fats; it has anabolic effects on many types of tissues. (NCI04) Human insulin protein (110 aa, 12 kDa) is encoded by the human insulin (INS) gene. This cytosolic protein, a heterodimer of disulfide-linked alpha and beta chains, is produced in pancreatic islet beta cells. Binding of insulin to its receptor stimulates glucose uptake, accelerates both glycolysis and the pentose phosphate cycle and increases glycogen synthesis in the liver. Insulin regulates protein and lipid metabolism. It also decreases blood glucose concentration by shuttling molecules into cells to be used for energy. Decreased expression of insulin protein causes familial hyperproinsulinemia.";Insulin;###############################################################################################################################################################################################################################################################;C0021641;http://www.fpnotebook.com/Endo/Pharm/Insln.htm
Insulin;Humulin insulin, insulin, human (Humulin), insulin humulin, humulin, humulin insulin, Humulin insulin (substance);Humulin;350348002;;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)
, Hormone (T125)";T116 T121 T125;;Humulin insulin;;C0020171;http://www.fpnotebook.com/Endo/Pharm/Insln.htm
Insulin;###############################################################################################################################################################################################################################################################;;388454007, 412210000, 125703000;;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)
, Hormone (T125)";T116 T121 T125;###############################################################################################################################################################################################################################################################;Insulin Lispro;Insulin that has been modified so that the B-chain contains a LYSINE at position 28 instead of a PROLINE and a PROLINE at position 29 instead of a LYSINE.;C0293359;http://www.fpnotebook.com/Endo/Pharm/Insln.htm
Insulin;novolin, Novolin;Novolin;;;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)";T116 T121;;Novolin;;C0028467;http://www.fpnotebook.com/Endo/Pharm/Insln.htm
Insulin;Novolog, novolog, novorapid, NovoLOG, NovoRapid, Novo Nordisk Brand of Insulin Aspart, NovoLog;;;;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)";T116 T121;;NovoLog;;C0939412;http://www.fpnotebook.com/Endo/Pharm/Insln.htm
Insulin Dosing in Type 2 Diabetes;###############################################################################################################################################################################################################################################################;Insuline ordinaire, Insuline;67866001, 39487003, 412222002;###############################################################################################################################################################################################################################################################;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)
, Hormone (T125)";T116 T121 T125;"A short-acting form of insulin. Regular insulin is obtained from animal or recombinant sources. The onset of action of regular insulin occurs at 30-90 minutes after injection; its effect lasts for 6 to 8 hours. Endogenous human insulin, a pancreatic hormone composed of two polypeptide chains, is important for the normal metabolism of carbohydrates, proteins and fats; it has anabolic effects on many types of tissues. (NCI04) Human insulin protein (110 aa, 12 kDa) is encoded by the human insulin (INS) gene. This cytosolic protein, a heterodimer of disulfide-linked alpha and beta chains, is produced in pancreatic islet beta cells. Binding of insulin to its receptor stimulates glucose uptake, accelerates both glycolysis and the pentose phosphate cycle and increases glycogen synthesis in the liver. Insulin regulates protein and lipid metabolism. It also decreases blood glucose concentration by shuttling molecules into cells to be used for energy. Decreased expression of insulin protein causes familial hyperproinsulinemia.";Insulin;###############################################################################################################################################################################################################################################################;C0021641;http://www.fpnotebook.com/Endo/Pharm/InslnDsngInTypDbts1.htm
Incretin Mimetic;Byetta;;;;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)";T116 T121;;Byetta;;C1636686;http://www.fpnotebook.com/Endo/Pharm/IncrtnMmtc.htm
Incretin Mimetic;exendin-4, EXENATIDE, exenatide (medication), exenatide [Chemical/Ingredient], Ex4 peptide, exendin 4, exenatide, Exendin 4, Exenatide (product), Exenatide (substance), Exenatide;;416859008, 417734003;;"Amino Acid, Peptide, or Protein (T116)
, Pharmacologic Substance (T121)";T116 T121;;exenatide;;C0167117;http://www.fpnotebook.com/Endo/Pharm/IncrtnMmtc.htm
